,level,text
0,2 - Mid,essenger contact im ◾️telegram contact halummu media ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
1,2 - Mid,islamic state west africa wilayah success allah khilafah soldiers attacked checkpoint murtadd nigerian army near town azare borno area yesterday mujahidin clashed using variety weapons forcing flee mujahidin returned safely positions praise due allah ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
2,2 - Mid,islamic state khurasan wilayah success allah khilafah soldiers detonated explosive device vehicle murtadd taliban militia achin area nangarhar disabling vehicle killing wounding praise due allah ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
3,2 - Mid,islamic state central africa wilayah 🔵 media office central africa wilayah presents 🎥 video release titled • life jihad khilafahen khilafahvideos
4,2 - Mid,🎥 video release 🔵 media office central africa wilayah presents ■ life jihad 1080p
5,1 - Low,gab check
6,1 - Low,laser nazi gdl special thanks ht white power⚡️⚡️
7,1 - Low,stay tuned best yet come⚡️⚡️
8,1 - Low,laser nazi making jew spend shekels
9,1 - Low,laser nazi gdl taking naming jew new heights⚡️⚡️
10,1 - Low,kayne feat ht gdl
11,1 - Low,laser nazi ⚡️⚡️ halloween special
12,1 - Low,unvaccinated dying legions lying kike anyone know personally died last couple years ones took jab one person know refused wear mask got died covid fucking whore
13,1 - Low,always pull antisemitisme card try scapegoat u media goyim
14,1 - Low,call people god people bible jews 👃 need put cowardice aside admit true god goyim must stop feeling sorry thing never victim kanyeisright
15,1 - Low,hope allow butchers inject one toxic vaccines
16,2 - Mid,white lion pride movement stands promotes preservation proliferation white race culture fight normalize white pride white power time abolish white guilt join pride whitelivesmatter whitepower whitepride
17,1 - Low,necessary stand right despite hate carve path us cannot wlp pack leaders 💪🏻 whitepride whitepower
18,1 - Low,white people violently oppressed many afraid say white pride black power black pride supported encouraged silenced cancelled proud race violent oppression unacceptable whitelivesmatter
19,1 - Low,liberalhypocrisy white people mention white lives matter they're labeled racists however black people say black lives matter ok itsoktobewhite whitelivesdomatter never apologize white nsfbw need apologize👇 whitelivesmatter
20,1 - Low,want everyone know itsoktobewhite whitelivesmatter mean racist statement means white people's lives matter erased like they're nothing antiwhite hate needs end improudtobewhite whiteliveswillalwaysmatter🤍
21,1 - Low,antiwhites evil disgusting negative want commit violence see cute innocent white babies like one
22,1 - Low,like wouldnt problem said white people instead jews sure problem whitelivesmatter tshirt
23,1 - Low,white lives matter stop antiwhite racism stop immigration
24,1 - Low,according tv commercials 98 america black gay 🤔 itsoktobewhite whitepride itsoktobestraight straightpride
25,1 - Low,i'll never apologize something i'll always proud regardless someone says whitepride ✊🏻 whitepower ✊🏻 nowhiteguilt endwhitehate
26,1 - Low,odd replace whitewhiteness jewishjewishness bunch us news headlines come beauties jew jews jewish jewishmedia whitelivesmatter whitepride
27,1 - Low,black people racist average white people much violent biggest threat black man another black man fact whitepride
28,1 - Low,im proud white american im take kid trick treating whitepride
29,1 - Low,without right offend free freedom freedom offend free whitegenocide real replacement extermination offends tough luck born free white slave
30,1 - Low,whitegenocide whiteerasure antiwhite greatreplacement groyper amren whitenationalism whitenationalist nickfuentes
31,1 - Low,everyone arms saying twitter going misinformation white supremacy accounts years openly call extinction white genocide cant find similar accounts advocating white supremacy left backwards
32,1 - Low,njp thee thenoticing whitelivesmatter whitegenocide
33,1 - Low,becoming minority homeland natural rain apparently whitegenocide
34,1 - Low,stop white genocide
35,1 - Low,seen whitegenocide can't unsee theylive thenoticing
36,1 - Low,whitegenocide matters whitelivesmatter matter matter
37,1 - Low,thenoticing
38,1 - Low,thenoticing
39,1 - Low,never forget thenoticing
40,1 - Low,antiwhites tell whites collective pride nations civilization whole personally achieve things individuals say would negate group collective pride across board longer take pride accomplishments family members children friends school mates coworkers country whole cheering country world cup olympics cheering favorite sportsball team celebrating victories pride country members thereof anything whatsoever groups exist individuals say antiwhites reverse logic trying justify collective group pride jews nonwhites usually resorting oppression narrative rationalize double standard jews collectively praised jewish nobel prize winners blacks collectively attributed creating hip hop music antiwhites contradict tactical individualism undermine white group pride assigning collective group blameguilt whites slavery colonialism etc one hand whites individuals can't group pride accomplishments hand whites collectively responsible transgressions ancestors whites apparently collectivized trying make feel guilty unworthy positive group feelings stigmatized negative group feelings institutionalized one ways antiwhites waging psychological race war whites
41,3 - High,blacks whites unite parasite lasernazi
42,1 - Low,jew quota antisemitism needs filled maintain victim status never want much also never want little
43,2 - Mid,valkyrie division aryan freedom network's woman's branch great organization sisterhood aryan women bound together survival people aryan sisters join us today together achieve victory whitepowerorg aryanfreedomcom
44,1 - Low,really matter they're spiritual jews anyway almost every single one bought zionist slave jewish cronycapitalism
45,2 - Mid,patriotfront activists network 5 trained northern utah
46,3 - High,fucking parasitic jew goes poor woman's store new orleans looking things kvetch finds figurine hitler grubby little hands start wringing involuntarily anticipation ruining goyim calls demands feelings satisfied graciously called hear beg went twitter beg enough satisfy jew need total capitulation puts blast thousands twitter followers looking next white life possibly ruin disgusting parasite
47,1 - Low,laser nazi
48,3 - High,foreign invader grabs irish woman public irishman steps defend nonwhite parasite tries fight irishman hit right away reason let get ready better nothing like people far short done
49,3 - High,we've finding pretty good posts twitter late
50,2 - Mid,active club canada going anywhere join brothers get active respect wild rose active club representative one training meets white unity every opportunity
51,2 - Mid,join active club canada brotherhood click pinned message channel get vetted get active
52,2 - Mid,central ca cal active club members came together participate 45lb plate challenge put forth active club canada get involved lets see
53,2 - Mid,nationalism actionorientated worldview active nationalist join local active club
54,1 - Low,taking commie trash
55,1 - Low,antiwhite media hit piece one activists defending delivering leaflets
56,2 - Mid,rose city nationalist club members held demonstration opposing gender theory newberg oregon music die cast face nate
57,2 - Mid,islamic state west africa wilayah success allah khilafah soldiers attacked position murtadd nigerian police town magumeri borno area 2 days ago using machine gun fire killing 2 members wounding others burning vehicle seizing another one ghanimah mujahidin returned safely positions praise due allah ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
58,2 - Mid,photo report islamic state west africa wilayah 📷 photos featuring khilafah soldiers attack position murtadd nigerian police town magumeri borno area ◾️telegram contact link halummu media 🔉✉️ ▪️ tamtam ◾️rocket chat contact @ halummuadmin 🔊
59,4 - Very High,rabbi jordan peterson cries omegle killemall
60,3 - High,𝙀𝙉𝘿 illuminati🔺❌ 𝗭𝗼𝗵𝗮𝗿 jewish mysticism called kabbalah 𝗭𝗼𝗵𝗮𝗿 insinuates certain urgency sacrifice goyim non jews israel must make 𝗦𝗮𝘁𝗮𝗻 sacrifice made believed 𝗦𝗮𝘁𝗮𝗻 sacrifice rabbis 𝗭𝗼𝗵𝗮𝗿 states occurred ten rabbis killed second century ad zionists lucifer satan luciferistheirgod goy goyim synagogueofsatan
61,1 - Low,rabbi killed goyim
62,1 - Low,jew makes fun 911
63,1 - Low,> 📹 hol yo niggers hol yo niggers > 📹 ⚠️🛑attention members🛑⚠️ join📡🔊🛰️👇 ⚠️🛑attention members🛑⚠️ join📡🔊🛰️👇
64,4 - Very High,> 📹 find jew find jew > 📹 video
65,1 - Low,> 📹 unfortunately work niggers unfortunately work niggers > 📹 kyrie irving recent comments alex jones also confirms clip secret societies occult exists kyrie irving recent comments alex jones also confirms clip secret societies occult exists
66,1 - Low,nsc 131 confronts invaders enablers baymont wyndham hotel kingston massachusetts gabcomnewengland131
67,3 - High,filthy jews way they're going get golem back bag apes know aswell jews behind slavery
68,1 - Low,end lgbt jewish rainbow pedophile movement🏳️‍🌈⃠🔯 protect children gender changing pedophile freaks idea stems jewish communists work hard destroy human race
69,2 - Mid,jewish media traitor political terror squads known ct police continue lie australian public organisation planning imminent mass casualty event reality opposite liars say community white australians fed made minority lands ancestors fought afraid say tribe train
70,2 - Mid,dirty commies using random slurs ever happy lie commie theythems believe retards think dont lazily follow media waves disinformation
71,1 - Low,sigma rule treat jews 18 1
72,1 - Low,goebbels calling mass boycott jews
73,2 - Mid,📌 november holodomor remembrance month dedicating event 19th month raising awareness genocides people facing aware challenges today many us aware true history watching material minimum get speed 12 days go event day 12 days spread much flyer possible action creates future
74,2 - Mid,new yorkers continue statewide activities must unite people fight homes option unacceptable time join local wlm activists get involved today xiv 📣🍁don't forget join gab 🌲📣 join wlm ny chat contact begin vetting process
75,2 - Mid,📍🇬🇧 somewhere uk sent anonymous user ⚡ get active read manual found start stickers fliers work way
76,2 - Mid,wlmusawisconsin 🩸🩸🩸 activists wisconson grabbed projectorspeaker film defiant headed small white town decided watch 🩸🩸🩸 take back streets hv tmewhitelivesmatterofficial tmewlmusawisconsinchat
77,1 - Low,really hate jews race mixing us europeans
78,1 - Low,identify jew name jew
79,1 - Low,blacks created nothing blacks built nothing blacks low iq blacks selfish lowest low blacks countries enemies trust blacks nonwhites
80,1 - Low,people hide amongst us like parasite say important identify jews
81,1 - Low,many tens thousands third worlders coming florida driving wages taking good jobs white american citizens need whitepride closetheboarder americafirst
82,1 - Low,whitegenocide another hateful doctor
83,1 - Low,white people concern ones race wanting organise along racial lines condemned called racism ultimately condemn preservation white race whitegenocide antiwhiteism
84,1 - Low,whitegenocide replacement real stop talking
85,1 - Low,whitegenocide hate real
86,1 - Low,adl's mission stop defamation jewish people secure justice fair treatment mission includes justice fair treatment adl antiwhite eg regard whites victimizers never victims
87,1 - Low,western governments corporations mainstreammedia church antiwhite want victimize us children elderly
88,1 - Low,words diversity inclusion euphemisms meaning discrimination white people especially white men antiwhite
89,1 - Low,antiwhites quit acting tuff quit encouraging whiteerasure quit claiming neighborhoods western civilization quit antiwhite
90,1 - Low,yeah antiwhites try run platform report stuff like insults get away antiwhite standard bad westernkind certainly american patriots america western civilization
91,1 - Low,yeah antiwhites dignity
92,1 - Low,jewish people saying truly feel white people
93,4 - Very High,here's basic takeaway election 2022 far jews win every election want things change time start voting bullets thenoticing kanyeisright
94,1 - Low,racist antisemitic antiwhite slurs fear called transphobic also attack westernkind allowing mutilation sexualization children antiwhites encourage antiwhitism
95,1 - Low,drag white people problems jewish mobs antiwhites antiwhite jews kanye kanyewest ye trainer
96,1 - Low,yes defend 100 reason antiwhites dont defend thats given enemy
97,1 - Low,blacks always anti whites racists
98,1 - Low,short little conversation brings deep seated racial hatred antiwhites point supporting brutal violence white children white people wake mass day thanks
